model,size,color,leather,hardware,year,condition,price
Birkin,30,Chocolat,Swift,Palladium,2025,Used,13500
Birkin,30,Anemone,Swift,Rose Gold,2020,Used,13500
Birkin,30,Sakura,Swift,Rose Gold,2021,Used,13800
Birkin,30,Bleu Nuit,Swift,Palladium,2017,Good,13900
Birkin,30,Anemone,Swift,Gold,2018,Good,14000
Birkin,30,Rouge Casaque,Clemence,Palladium,2017,Very Good,14050
Birkin,30,Sakura,Chevre,Rose Gold,2021,Used,14100
Birkin,30,Vert Fonce,Clemence,Rose Gold,2025,Good,14400
Birkin,30,Rouge H,Clemence,Gold,2017,Very Good,14450
Birkin,30,Craie,Swift,Palladium,2024,Good,14900
Birkin,30,Bleu Nuit,Clemence,Rose Gold,2025,Good,15100
Birkin,30,Rouge H,Clemence,Rose Gold,2021,Good,15150
Birkin,30,Anemone,Togo,Rose Gold,2021,Good,15250
Birkin,30,Bleu Zellige,Epsom,Palladium,2017,Very Good,15250
Birkin,30,Vert Fonce,Swift,Rose Gold,2022,Good,15750
Birkin,30,Blanc,Clemence,Gold,2018,Excellent,15800
Birkin,30,Craie,Togo,Gold,2018,Excellent,16400
Birkin,30,Bleu Saphir,Togo,Gold,2017,Excellent,16500
Birkin,30,Anemone,Swift,Gold,2018,Very Good,16650
Birkin,30,Vert Fonce,Togo,Gold,2023,Very Good,16750
Birkin,30,Vert Bosphore,Clemence,Palladium,2023,Very Good,16800
Birkin,30,Bleu Nuit,Togo,Gold,2024,Very Good,16850
Birkin,30,Sakura,Swift,Gold,2025,Good,17000
Birkin,30,Gris Etain,Clemence,Gold,2017,Excellent,17050
Birkin,30,Sakura,Clemence,Gold,2023,Very Good,17050
Birkin,30,Vert Fonce,Togo,Palladium,2019,Excellent,17200
Birkin,30,Rouge Casaque,Togo,Palladium,2017,Excellent,17400
Birkin,30,Vert Fonce,Clemence,Rose Gold,2023,Very Good,17450
Birkin,30,Bleu Nuit,Swift,Palladium,2023,Very Good,17650
Birkin,30,Blanc,Swift,Palladium,2017,Excellent,17800
Birkin,30,Vert Fonce,Togo,Palladium,2021,Excellent,18050
Birkin,30,Blanc,Togo,Palladium,2025,Excellent,18200
Birkin,30,Anemone,Epsom,Gold,2020,Excellent,18350
Birkin,30,Vert Anis,Clemence,Rose Gold,2019,Excellent,18350
Birkin,30,Havane,Chevre,Gold,2018,Excellent,18500
Birkin,30,Havane,Epsom,Rose Gold,2018,Excellent,18550
Birkin,30,Vert Fonce,Epsom,Palladium,2018,New,18600
Birkin,30,Chocolat,Swift,Gold,2025,Very Good,18900
Birkin,30,Rose,Clemence,Gold,2025,Excellent,19050
Birkin,30,Craie,Epsom,Rose Gold,2025,Excellent,19250
Birkin,30,Bleu Brume,Chevre,Gold,2019,Excellent,19500
Birkin,30,Etoupe,Swift,Palladium,2017,New,19650
Birkin,30,Chocolat,Clemence,Gold,2021,New,19750
Birkin,30,Bleu Brume,Epsom,Rose Gold,2017,New,19850
Birkin,30,Mauve Sylvestre,Chevre,Palladium,2024,Very Good,19900
Birkin,30,Havane,Epsom,Palladium,2021,New,20900
Birkin,30,Bleu Zellige,Chevre,Rose Gold,2020,Excellent,21300
Birkin,30,Bleu Nuit,Swift,Palladium,2023,New,21450
Birkin,30,Vert Fonce,Clemence,Rose Gold,2022,New,21600
Birkin,30,Vert Fonce,Chevre,Rose Gold,2024,Excellent,21800
Birkin,30,Mauve Sylvestre,Chevre,Rose Gold,2024,Excellent,21900
Birkin,30,Prune,Epsom,Palladium,2025,New,22550
Birkin,30,Noir,Swift,Rose Gold,2024,New,22700
Birkin,30,Bleu Saphir,Swift,Gold,2025,New,23250
Birkin,30,Mauve Sylvestre,Chevre,Rose Gold,2021,New,23450
Birkin,30,Vert Anis,Chevre,Palladium,2022,New,23600
Birkin,30,Gold,Ostrich,Rose Gold,2019,Used,39550
Birkin,30,Mauve Sylvestre,Ostrich,Palladium,2017,Very Good,51050
Birkin,30,Bleu Zellige,Lizard,Palladium,2018,Good,52150
Birkin,30,Chocolat,Lizard,Palladium,2022,Good,56350
Birkin,30,Noir,Alligator,Palladium,2017,Good,60100
Birkin,30,Gold,Alligator,Gold,2021,Good,60800
Birkin,30,Chocolat,Lizard,Gold,2022,Very Good,61750
Birkin,30,Bleu Zellige,Ostrich,Gold,2024,Excellent,64350
Birkin,30,Gris Etain,Alligator,Palladium,2022,Very Good,72300
Birkin,30,Chocolat,Crocodile,Gold,2025,Good,75700
Birkin,30,Mauve Sylvestre,Lizard,Rose Gold,2017,New,76600
Birkin,35,Anemone,Clemence,Gold,2020,Used,9850
Birkin,35,Gold,Togo,Gold,2021,Used,10450
Birkin,35,Etoupe,Epsom,Gold,2019,Used,10450
Birkin,35,Craie,Togo,Rose Gold,2020,Used,10650
Birkin,35,Noir,Chevre,Gold,2017,Used,11000
Birkin,35,Jaune Ambre,Togo,Rose Gold,2024,Used,11450
Birkin,35,Etoupe,Swift,Rose Gold,2020,Used,11600
Birkin,35,Rouge Casaque,Clemence,Palladium,2022,Good,12150
Birkin,35,Blanc,Clemence,Gold,2025,Good,12300
Birkin,35,Orange,Epsom,Palladium,2022,Good,12550
Birkin,35,Vert Fonce,Clemence,Palladium,2019,Very Good,13000
Birkin,35,Jaune Ambre,Chevre,Gold,2018,Good,13350
Birkin,35,Bleu Zellige,Togo,Palladium,2021,Very Good,13450
Birkin,35,Vert Bosphore,Epsom,Gold,2024,Good,13500
Birkin,35,Sakura,Epsom,Rose Gold,2020,Good,13700
Birkin,35,Sakura,Chevre,Gold,2022,Good,14050
Birkin,35,Blanc,Chevre,Palladium,2024,Good,14450
Birkin,35,Craie,Epsom,Gold,2023,Very Good,14500
Birkin,35,Blanc,Clemence,Rose Gold,2024,Very Good,14550
Birkin,35,Havane,Togo,Palladium,2023,Very Good,14650
Birkin,35,Vert Fonce,Chevre,Rose Gold,2020,Good,14650
Birkin,35,Noir,Clemence,Rose Gold,2023,Very Good,14700
Birkin,35,Gris Etain,Chevre,Rose Gold,2017,Very Good,14750
Birkin,35,Rouge Casaque,Chevre,Palladium,2018,Very Good,14800
Birkin,35,Anemone,Swift,Rose Gold,2025,Good,14900
Birkin,35,Havane,Epsom,Rose Gold,2020,Very Good,15100
Birkin,35,Gold,Togo,Palladium,2023,Excellent,15150
Birkin,35,Chocolat,Swift,Rose Gold,2020,Very Good,15600
Birkin,35,Bleu Brume,Swift,Palladium,2021,Very Good,15850
Birkin,35,Vert Anis,Chevre,Rose Gold,2020,Very Good,15950
Birkin,35,Gold,Swift,Rose Gold,2023,Very Good,16150
Birkin,35,Mauve Sylvestre,Togo,Rose Gold,2021,Excellent,16300
Birkin,35,Vert Anis,Epsom,Gold,2020,Excellent,16400
Birkin,35,Prune,Chevre,Gold,2025,Very Good,16450
Birkin,35,Blanc,Epsom,Rose Gold,2020,Excellent,16500
Birkin,35,Vert Bosphore,Epsom,Rose Gold,2024,Very Good,16550
Birkin,35,Bleu Saphir,Epsom,Gold,2021,Excellent,16650
Birkin,35,Rose,Chevre,Rose Gold,2022,Very Good,16850
Birkin,35,Gris Etain,Epsom,Gold,2021,Excellent,16950
Birkin,35,Rose,Swift,Palladium,2023,Excellent,17700
Birkin,35,Vert Fonce,Swift,Palladium,2020,New,17700
Birkin,35,Bleu Nuit,Chevre,Gold,2020,Excellent,17700
Birkin,35,Rose,Chevre,Palladium,2022,Excellent,17800
Birkin,35,Blanc,Togo,Rose Gold,2018,New,17800
Birkin,35,Etoupe,Clemence,Rose Gold,2020,New,18000
Birkin,35,Jaune Ambre,Togo,Palladium,2024,New,18350
Birkin,35,Havane,Togo,Gold,2024,New,19150
Birkin,35,Sakura,Epsom,Rose Gold,2023,New,19550
Birkin,35,Noir,Togo,Rose Gold,2024,New,19600
Birkin,35,Rouge H,Swift,Rose Gold,2017,New,19650
Birkin,35,Anemone,Chevre,Rose Gold,2023,Excellent,19800
Birkin,35,Gris Etain,Chevre,Gold,2022,New,20350
Birkin,35,Jaune Ambre,Chevre,Rose Gold,2023,New,21100
Birkin,35,Rouge H,Lizard,Gold,2021,Used,40950
Birkin,35,Gris Etain,Lizard,Palladium,2025,Good,51000
Birkin,35,Orange,Ostrich,Gold,2020,Excellent,51200
Birkin,35,Etoupe,Lizard,Gold,2024,Excellent,62900
Birkin,35,Pink,Lizard,Rose Gold,2019,Excellent,65600
Birkin,35,Pink,Crocodile,Gold,2025,Very Good,74700
Birkin,35,Pink,Crocodile,Gold,2025,New,91950
Bolide,27,Bleu Zellige,Clemence,Palladium,2025,Used,6850
Bolide,27,Noir,Epsom,Palladium,2019,Used,6900
Bolide,27,Bleu Zellige,Chevre,Gold,2017,Used,7150
Bolide,27,Rouge Casaque,Epsom,Rose Gold,2022,Used,7450
Bolide,27,Rose,Chevre,Gold,2024,Used,7900
Bolide,27,Rouge H,Togo,Gold,2019,Good,8000
Bolide,27,Etoupe,Chevre,Rose Gold,2021,Used,8400
Bolide,27,Pink,Epsom,Palladium,2019,Good,8400
Bolide,27,Prune,Togo,Palladium,2021,Good,8650
Bolide,27,Vert Bosphore,Epsom,Gold,2019,Good,8850
Bolide,27,Craie,Clemence,Palladium,2021,Very Good,9000
Bolide,27,Anemone,Epsom,Rose Gold,2021,Good,9550
Bolide,27,Pink,Chevre,Palladium,2022,Good,9600
Bolide,27,Havane,Clemence,Gold,2024,Very Good,9600
Bolide,27,Prune,Togo,Rose Gold,2025,Good,9700
Bolide,27,Bleu Zellige,Chevre,Palladium,2022,Good,9900
Bolide,27,Bleu Saphir,Swift,Palladium,2019,Very Good,10000
Bolide,27,Bleu Saphir,Togo,Palladium,2025,Very Good,10200
Bolide,27,Rouge H,Togo,Gold,2017,Excellent,10400
Bolide,27,Rose,Clemence,Rose Gold,2022,Very Good,10500
Bolide,27,Sakura,Epsom,Gold,2025,Very Good,11100
Bolide,27,Chocolat,Epsom,Rose Gold,2018,New,11700
Bolide,27,Anemone,Clemence,Palladium,2023,New,11800
Bolide,27,Prune,Togo,Palladium,2025,New,12050
Bolide,27,Havane,Togo,Palladium,2023,New,12350
Bolide,27,Blanc,Epsom,Palladium,2025,New,12700
Bolide,27,Rose,Clemence,Gold,2024,New,12700
Bolide,27,Orange,Chevre,Palladium,2024,Excellent,13000
Bolide,27,Havane,Chevre,Gold,2019,New,13150
Bolide,27,Gris Etain,Epsom,Rose Gold,2024,New,13500
Bolide,27,Rose,Ostrich,Palladium,2017,Good,25950
Bolide,27,Craie,Ostrich,Palladium,2020,Good,26000
Bolide,27,Bleu Zellige,Alligator,Rose Gold,2018,Good,37500
Bolide,27,Rose,Alligator,Gold,2024,Good,38900
Bolide,27,Bleu Nuit,Crocodile,Gold,2020,Good,42800
Bolide,27,Bleu Saphir,Lizard,Rose Gold,2017,New,43750
Bolide,27,Pink,Lizard,Gold,2017,New,46150
Bolide,27,Chocolat,Alligator,Palladium,2021,Excellent,46950
Bolide,31,Gris Etain,Togo,Palladium,2022,Used,7250
Bolide,31,Bleu Saphir,Epsom,Palladium,2020,Used,7350
Bolide,31,Bleu Nuit,Togo,Gold,2021,Used,7550
Bolide,31,Pink,Togo,Rose Gold,2017,Used,7650
Bolide,31,Craie,Epsom,Rose Gold,2021,Used,7750
Bolide,31,Bleu Brume,Swift,Rose Gold,2018,Used,7900
Bolide,31,Pink,Togo,Rose Gold,2020,Used,8250
Bolide,31,Sakura,Togo,Gold,2023,Used,8250
Bolide,31,Sakura,Chevre,Gold,2021,Used,8700
Bolide,31,Rose,Togo,Rose Gold,2019,Good,9000
Bolide,31,Pink,Togo,Palladium,2020,Good,9200
Bolide,31,Bleu Zellige,Chevre,Rose Gold,2024,Used,9250
Bolide,31,Jaune Ambre,Clemence,Palladium,2021,Good,9500
Bolide,31,Prune,Clemence,Palladium,2019,Very Good,9600
Bolide,31,Noir,Swift,Gold,2021,Good,9800
Bolide,31,Rouge Casaque,Chevre,Palladium,2019,Good,9800
Bolide,31,Rouge H,Chevre,Gold,2023,Good,10500
Bolide,31,Pink,Clemence,Palladium,2022,Very Good,10700
Bolide,31,Blanc,Togo,Palladium,2020,Excellent,10900
Bolide,31,Jaune Ambre,Togo,Palladium,2023,Very Good,10900
Bolide,31,Craie,Epsom,Palladium,2019,Excellent,10950
Bolide,31,Etoupe,Chevre,Gold,2017,Very Good,11300
Bolide,31,Rose,Chevre,Gold,2025,Good,11350
Bolide,31,Gris Etain,Epsom,Gold,2020,Excellent,12300
Bolide,31,Rouge H,Epsom,Rose Gold,2018,Excellent,12350
Bolide,31,Mauve Sylvestre,Chevre,Rose Gold,2019,Very Good,12550
Bolide,31,Noir,Clemence,Palladium,2024,New,12950
Bolide,31,Gris Etain,Swift,Rose Gold,2019,Excellent,13000
Bolide,31,Chocolat,Epsom,Gold,2018,New,13050
Bolide,31,Sakura,Chevre,Gold,2020,Excellent,13050
Bolide,31,Rose,Swift,Rose Gold,2019,Excellent,13050
Bolide,31,Mauve Sylvestre,Togo,Gold,2025,Excellent,13100
Bolide,31,Bleu Nuit,Epsom,Gold,2022,New,14000
Bolide,31,Craie,Swift,Palladium,2022,New,14700
Bolide,31,Etoupe,Ostrich,Palladium,2021,Good,29950
Bolide,31,Prune,Lizard,Palladium,2022,Used,31400
Bolide,31,Jaune Ambre,Lizard,Gold,2018,Good,34300
Bolide,31,Bleu Brume,Ostrich,Rose Gold,2024,Good,34950
Bolide,31,Orange,Alligator,Rose Gold,2019,Used,35400
Bolide,31,Vert Fonce,Ostrich,Gold,2017,Excellent,35900
Bolide,31,Etoupe,Lizard,Rose Gold,2020,Excellent,45350
Bolide,31,Gris Etain,Crocodile,Rose Gold,2023,Good,51150
Constance,18,Rouge Casaque,Togo,Gold,2017,Used,5950
Constance,18,Anemone,Epsom,Gold,2019,Used,6300
Constance,18,Vert Bosphore,Chevre,Gold,2018,Used,6700
Constance,18,Noir,Swift,Gold,2018,Used,6750
Constance,18,Craie,Togo,Palladium,2025,Used,6850
Constance,18,Gold,Clemence,Rose Gold,2025,Used,6900
Constance,18,Etoupe,Swift,Gold,2025,Used,7100
Constance,18,Craie,Clemence,Palladium,2018,Good,7150
Constance,18,Vert Bosphore,Swift,Gold,2021,Used,7350
Constance,18,Anemone,Chevre,Rose Gold,2021,Used,7500
Constance,18,Vert Fonce,Epsom,Gold,2018,Good,7550
Constance,18,Orange,Clemence,Palladium,2022,Good,7600
Constance,18,Rouge Casaque,Togo,Rose Gold,2018,Good,7650
Constance,18,Prune,Epsom,Rose Gold,2025,Used,7850
Constance,18,Vert Fonce,Epsom,Gold,2022,Good,8000
Constance,18,Vert Bosphore,Togo,Gold,2021,Good,8100
Constance,18,Bleu Saphir,Swift,Palladium,2021,Good,8200
Constance,18,Bleu Saphir,Clemence,Rose Gold,2021,Good,8250
Constance,18,Bleu Saphir,Epsom,Gold,2023,Good,8250
Constance,18,Vert Fonce,Togo,Palladium,2021,Very Good,8400
Constance,18,Bleu Saphir,Epsom,Palladium,2018,Very Good,8650
Constance,18,Vert Anis,Swift,Palladium,2024,Good,8700
Constance,18,Gris Etain,Swift,Palladium,2020,Very Good,8900
Constance,18,Prune,Clemence,Rose Gold,2021,Very Good,8900
Constance,18,Havane,Togo,Rose Gold,2020,Very Good,9100
Constance,18,Havane,Swift,Gold,2018,Very Good,9100
Constance,18,Craie,Clemence,Rose Gold,2022,Very Good,9400
Constance,18,Gold,Chevre,Rose Gold,2025,Good,9450
Constance,18,Bleu Brume,Chevre,Gold,2025,Good,9450
Constance,18,Vert Anis,Togo,Gold,2020,Very Good,9500
Constance,18,Chocolat,Chevre,Gold,2021,Very Good,9600
Constance,18,Bleu Saphir,Swift,Palladium,2020,Excellent,9950
Constance,18,Bleu Brume,Chevre,Palladium,2018,Very Good,9950
Constance,18,Gold,Togo,Rose Gold,2021,Excellent,9950
Constance,18,Chocolat,Epsom,Palladium,2019,Excellent,10000
Constance,18,Gold,Clemence,Rose Gold,2024,Excellent,10050
Constance,18,Anemone,Clemence,Gold,2025,Excellent,10750
Constance,18,Jaune Ambre,Swift,Gold,2024,Excellent,11500
Constance,18,Bleu Saphir,Togo,Rose Gold,2019,New,11500
Constance,18,Prune,Chevre,Gold,2022,Excellent,11550
Constance,18,Vert Bosphore,Swift,Palladium,2019,New,11600
Constance,18,Anemone,Swift,Palladium,2019,New,11700
Constance,18,Bleu Saphir,Togo,Rose Gold,2025,New,11850
Constance,18,Bleu Zellige,Clemence,Gold,2025,New,12200
Constance,18,Sakura,Swift,Palladium,2020,New,12400
Constance,18,Mauve Sylvestre,Togo,Rose Gold,2023,New,12400
Constance,18,Blanc,Chevre,Palladium,2025,New,13050
Constance,18,Chocolat,Ostrich,Palladium,2020,Used,20050
Constance,18,Prune,Ostrich,Rose Gold,2017,Used,20750
Constance,18,Rouge Casaque,Ostrich,Rose Gold,2021,Used,22300
Constance,18,Bleu Brume,Ostrich,Rose Gold,2023,Used,23500
Constance,18,Noir,Alligator,Gold,2021,Used,29650
Constance,18,Gris Etain,Alligator,Gold,2018,Good,33950
Constance,18,Havane,Ostrich,Gold,2024,Excellent,35200
Constance,18,Gold,Crocodile,Palladium,2019,Good,36450
Constance,18,Rouge Casaque,Lizard,Rose Gold,2022,Very Good,37350
Constance,18,Mauve Sylvestre,Lizard,Gold,2019,Excellent,37400
Constance,18,Bleu Zellige,Crocodile,Rose Gold,2019,Very Good,48700
Constance,18,Jaune Ambre,Alligator,Rose Gold,2020,Excellent,50450
Constance,24,Chocolat,Epsom,Palladium,2021,Used,7950
Constance,24,Bleu Brume,Epsom,Palladium,2019,Used,7950
Constance,24,Orange,Togo,Palladium,2018,Used,8150
Constance,24,Pink,Chevre,Palladium,2017,Used,8250
Constance,24,Vert Fonce,Epsom,Palladium,2024,Used,8400
Constance,24,Anemone,Togo,Rose Gold,2019,Used,8650
Constance,24,Bleu Saphir,Chevre,Gold,2017,Used,8900
Constance,24,Etoupe,Chevre,Gold,2018,Used,9000
Constance,24,Etoupe,Epsom,Palladium,2017,Good,9100
Constance,24,Jaune Ambre,Togo,Gold,2023,Used,9150
Constance,24,Gris Etain,Clemence,Rose Gold,2024,Used,9150
Constance,24,Bleu Saphir,Swift,Palladium,2025,Used,9450
Constance,24,Havane,Clemence,Palladium,2021,Good,9550
Constance,24,Bleu Nuit,Clemence,Gold,2020,Good,9550
Constance,24,Rouge Casaque,Swift,Rose Gold,2025,Used,9850
Constance,24,Bleu Brume,Swift,Rose Gold,2024,Used,9900
Constance,24,Rose,Epsom,Palladium,2025,Good,10300
Constance,24,Prune,Epsom,Palladium,2023,Good,10300
Constance,24,Anemone,Clemence,Gold,2025,Good,10900
Constance,24,Vert Anis,Togo,Gold,2017,Very Good,11200
Constance,24,Vert Anis,Togo,Palladium,2020,Very Good,11650
Constance,24,Mauve Sylvestre,Epsom,Palladium,2020,Very Good,11650
Constance,24,Craie,Epsom,Palladium,2021,Very Good,11900
Constance,24,Vert Anis,Togo,Rose Gold,2022,Very Good,12000
Constance,24,Bleu Zellige,Togo,Rose Gold,2023,Very Good,12000
Constance,24,Havane,Swift,Rose Gold,2024,Good,12100
Constance,24,Bleu Saphir,Swift,Palladium,2020,Very Good,12550
Constance,24,Rouge H,Swift,Palladium,2022,Very Good,12650
Constance,24,Gold,Epsom,Palladium,2022,Excellent,12800
Constance,24,Prune,Chevre,Palladium,2019,Very Good,12850
Constance,24,Bleu Zellige,Epsom,Rose Gold,2017,Excellent,12950
Constance,24,Sakura,Epsom,Rose Gold,2020,Very Good,13100
Constance,24,Vert Bosphore,Epsom,Palladium,2021,Excellent,13350
Constance,24,Bleu Zellige,Swift,Rose Gold,2025,Very Good,13400
Constance,24,Rouge H,Swift,Palladium,2017,Excellent,13450
Constance,24,Bleu Saphir,Epsom,Palladium,2017,New,13450
Constance,24,Prune,Clemence,Rose Gold,2021,Excellent,13650
Constance,24,Gold,Epsom,Rose Gold,2025,Excellent,13700
Constance,24,Vert Fonce,Chevre,Rose Gold,2018,Excellent,13750
Constance,24,Bleu Nuit,Togo,Gold,2021,New,14100
Constance,24,Blanc,Chevre,Rose Gold,2020,Excellent,14300
Constance,24,Mauve Sylvestre,Chevre,Palladium,2025,Excellent,14850
Constance,24,Vert Fonce,Epsom,Rose Gold,2019,New,15100
Constance,24,Gold,Clemence,Rose Gold,2024,New,15450
Constance,24,Rouge Casaque,Chevre,Palladium,2023,New,15750
Constance,24,Rouge H,Chevre,Palladium,2024,New,15950
Constance,24,Chocolat,Ostrich,Palladium,2019,Used,26300
Constance,24,Craie,Lizard,Gold,2019,Used,30600
Constance,24,Rouge H,Ostrich,Rose Gold,2025,Good,35200
Constance,24,Rouge Casaque,Alligator,Palladium,2024,Used,38200
Constance,24,Bleu Zellige,Lizard,Gold,2022,Good,38650
Constance,24,Mauve Sylvestre,Alligator,Palladium,2020,Used,38900
Constance,24,Bleu Zellige,Ostrich,Rose Gold,2020,Very Good,40550
Constance,24,Rouge Casaque,Ostrich,Rose Gold,2020,Excellent,41750
Constance,24,Rouge H,Alligator,Rose Gold,2023,Used,43350
Constance,24,Orange,Ostrich,Rose Gold,2020,New,49900
Constance,24,Prune,Lizard,Palladium,2022,Excellent,50950
Constance,24,Noir,Lizard,Rose Gold,2021,Excellent,52500
Constance,24,Etoupe,Alligator,Gold,2020,Excellent,56250
Constance,24,Blanc,Alligator,Gold,2021,Excellent,58800
Constance,24,Havane,Crocodile,Gold,2024,Very Good,64150
Evelyne,16,Havane,Swift,Gold,2020,Used,2150
Evelyne,16,Vert Fonce,Swift,Gold,2020,Used,2200
Evelyne,16,Chocolat,Chevre,Gold,2020,Used,2350
Evelyne,16,Bleu Zellige,Epsom,Gold,2017,Good,2450
Evelyne,16,Rouge H,Chevre,Rose Gold,2022,Used,2550
Evelyne,16,Jaune Ambre,Togo,Gold,2018,Good,2550
Evelyne,16,Etoupe,Epsom,Gold,2024,Good,2650
Evelyne,16,Rose,Epsom,Rose Gold,2017,Very Good,2850
Evelyne,16,Gold,Chevre,Rose Gold,2017,Good,2850
Evelyne,16,Craie,Clemence,Gold,2018,Excellent,2900
Evelyne,16,Blanc,Swift,Gold,2019,Very Good,2950
Evelyne,16,Gris Etain,Chevre,Rose Gold,2022,Good,2950
Evelyne,16,Bleu Nuit,Clemence,Gold,2017,Excellent,2950
Evelyne,16,Anemone,Togo,Gold,2023,Very Good,3100
Evelyne,16,Havane,Epsom,Gold,2021,Very Good,3100
Evelyne,16,Sakura,Chevre,Gold,2019,Very Good,3200
Evelyne,16,Rouge Casaque,Clemence,Palladium,2023,Excellent,3200
Evelyne,16,Sakura,Swift,Palladium,2023,Very Good,3250
Evelyne,16,Jaune Ambre,Epsom,Gold,2019,Excellent,3250
Evelyne,16,Jaune Ambre,Epsom,Palladium,2021,Excellent,3400
Evelyne,16,Bleu Nuit,Swift,Rose Gold,2020,Excellent,3500
Evelyne,16,Gold,Epsom,Palladium,2017,New,3550
Evelyne,16,Rouge Casaque,Clemence,Gold,2024,New,3650
